Heure;Protocole1;IPSource;PortSource;IPDestination;PortDestination;Protocole2;Typedepaquet;id;seq;length;Flags;A;B;C;D;Label
18:26:34.906582;IP;localhost;;localhost;;ICMP;echo request;61476;56838;8;;;;;;0
18:26:34.906597;IP;localhost;;localhost;;ICMP;echo reply;61476;56838;8;;;;;;0
18:26:35.006848;IP;localhost;;localhost;;ICMP;echo request;61476;57094;8;;;;;;0
18:26:35.006869;IP;localhost;;localhost;;ICMP;echo reply;61476;57094;8;;;;;;0
18:26:35.107000;IP;localhost;;localhost;;ICMP;echo request;61476;57350;8;;;;;;0
18:26:35.107021;IP;localhost;;localhost;;ICMP;echo reply;61476;57350;8;;;;;;0
18:26:35.207760;IP;localhost;;localhost;;ICMP;echo request;61476;57606;8;;;;;;0
18:26:35.207781;IP;localhost;;localhost;;ICMP;echo reply;61476;57606;8;;;;;;0
18:26:35.307887;IP;localhost;;localhost;;ICMP;echo request;61476;57862;8;;;;;;0
18:26:35.307902;IP;localhost;;localhost;;ICMP;echo reply;61476;57862;8;;;;;;0
18:26:35.408255;IP;localhost;;localhost;;ICMP;echo request;61476;58118;8;;;;;;0
18:26:35.408276;IP;localhost;;localhost;;ICMP;echo reply;61476;58118;8;;;;;;0
18:26:35.508889;IP;localhost;;localhost;;ICMP;echo request;61476;58374;8;;;;;;0
18:26:35.508911;IP;localhost;;localhost;;ICMP;echo reply;61476;58374;8;;;;;;0
18:26:35.609007;IP;localhost;;localhost;;ICMP;echo request;61476;58630;8;;;;;;0
18:26:35.609022;IP;localhost;;localhost;;ICMP;echo reply;61476;58630;8;;;;;;0
18:26:35.709298;IP;localhost;;localhost;;ICMP;echo request;61476;58886;8;;;;;;0
18:26:35.709314;IP;localhost;;localhost;;ICMP;echo reply;61476;58886;8;;;;;;0
18:26:35.809438;IP;localhost;;localhost;;ICMP;echo request;61476;59142;8;;;;;;0
18:26:35.809479;IP;localhost;;localhost;;ICMP;echo reply;61476;59142;8;;;;;;0
18:26:35.909688;IP;localhost;;localhost;;ICMP;echo request;61476;59398;8;;;;;;0
18:26:35.909709;IP;localhost;;localhost;;ICMP;echo reply;61476;59398;8;;;;;;0
18:26:36.009933;IP;localhost;;localhost;;ICMP;echo request;61476;59654;8;;;;;;0
18:26:36.009951;IP;localhost;;localhost;;ICMP;echo reply;61476;59654;8;;;;;;0
18:26:36.110283;IP;localhost;;localhost;;ICMP;echo request;61476;59910;8;;;;;;0
18:26:36.110322;IP;localhost;;localhost;;ICMP;echo reply;61476;59910;8;;;;;;0
18:26:36.210800;IP;localhost;;localhost;;ICMP;echo request;61476;60166;8;;;;;;0
18:26:36.210815;IP;localhost;;localhost;;ICMP;echo reply;61476;60166;8;;;;;;0
18:26:36.311027;IP;localhost;;localhost;;ICMP;echo request;61476;60422;8;;;;;;0
18:26:36.311044;IP;localhost;;localhost;;ICMP;echo reply;61476;60422;8;;;;;;0
18:26:36.411247;IP;localhost;;localhost;;ICMP;echo request;61476;60678;8;;;;;;0
18:26:36.411271;IP;localhost;;localhost;;ICMP;echo reply;61476;60678;8;;;;;;0
18:26:36.511449;IP;localhost;;localhost;;ICMP;echo request;61476;60934;8;;;;;;0
18:26:36.511470;IP;localhost;;localhost;;ICMP;echo reply;61476;60934;8;;;;;;0
18:26:36.611654;IP;localhost;;localhost;;ICMP;echo request;61476;61190;8;;;;;;0
18:26:36.611670;IP;localhost;;localhost;;ICMP;echo reply;61476;61190;8;;;;;;0
18:26:36.712360;IP;localhost;;localhost;;ICMP;echo request;61476;61446;8;;;;;;0
18:26:36.712382;IP;localhost;;localhost;;ICMP;echo reply;61476;61446;8;;;;;;0
18:26:36.812548;IP;localhost;;localhost;;ICMP;echo request;61476;61702;8;;;;;;0
