Heure;Protocole1;IPSource;PortSource;IPDestination;PortDestination;Protocole2;Typedepaquet;id;seq;length;Flags;A;B;C;D;Label;;;;;;;;;;;;;;
18:36:19;IP;localhost;;localhost;;ICMP;echo request;6693;2070;8;;;;;;0;;;;;;;;;;;;;;
18:36:19;IP;localhost;;localhost;;ICMP;echo reply;6693;2070;8;;;;;;0;;;;;;;;;;;;;;
18:36:19;IP;localhost;;localhost;;ICMP;echo request;61476;37661;8;;;;;;0;;;;;;;;;;;;;;
18:36:19;IP;localhost;;localhost;;ICMP;echo reply;61476;37661;8;;;;;;0;;;;;;;;;;;;;;
18:36:19;IP;localhost;;localhost;;ICMP;echo request;6693;2326;8;;;;;;0;;;;;;;;;;;;;;
18:36:19;IP;localhost;;localhost;;ICMP;echo reply;6693;2326;8;;;;;;0;;;;;;;;;;;;;;
18:36:19;IP;localhost;;localhost;;ICMP;echo request;61476;37917;8;;;;;;0;;;;;;;;;;;;;;
18:36:19;IP;localhost;;localhost;;ICMP;echo reply;61476;37917;8;;;;;;0;;;;;;;;;;;;;;
18:36:19;IP;localhost;;localhost;;ICMP;echo request;6693;2582;8;;;;;;0;;;;;;;;;;;;;;
18:36:19;IP;localhost;;localhost;;ICMP;echo reply;6693;2582;8;;;;;;0;;;;;;;;;;;;;;
18:36:19;IP;localhost;;localhost;;ICMP;echo request;61476;38173;8;;;;;;0;;;;;;;;;;;;;;
18:36:19;IP;localhost;;localhost;;ICMP;echo reply;61476;38173;8;;;;;;0;;;;;;;;;;;;;;
18:36:19;IP;localhost;;localhost;;ICMP;echo request;6693;2838;8;;;;;;0;;;;;;;;;;;;;;
18:36:19;IP;localhost;;localhost;;ICMP;echo reply;6693;2838;8;;;;;;0;;;;;;;;;;;;;;
18:36:19;IP;localhost;;localhost;;ICMP;echo request;61476;38429;8;;;;;;0;;;;;;;;;;;;;;
18:36:19;IP;localhost;;localhost;;ICMP;echo reply;61476;38429;8;;;;;;0;;;;;;;;;;;;;;
18:36:19;IP;localhost;;localhost;;ICMP;echo request;61476;38685;8;;;;;;0;;;;;;;;;;;;;;
18:36:19;IP;localhost;;localhost;;ICMP;echo reply;61476;38685;8;;;;;;0;;;;;;;;;;;;;;
18:36:19;IP;localhost;;localhost;;ICMP;echo request;6693;3094;8;;;;;;0;;;;;;;;;;;;;;
18:36:19;IP;localhost;;localhost;;ICMP;echo reply;6693;3094;8;;;;;;0;;;;;;;;;;;;;;
