Heure;Protocole1;IPSource;PortSource;IPDestination;PortDestination;Protocole2;Typedepaquet;id;seq;length;Flags;A;B;C;D;Label
19:16:00.067737;IP;localhost;43531; localhost;domain;;;;;;49079;[1au];A?;media.carambo.la.;-45;1
19:16:00.068045;IP;localhost;domain ; localhost;43531;;;;;;49079;3/0/1;CNAME;cs807.wac.13115.alphacdn.net.,;CNAME;1
19:16:00.068079;IP;localhost;43531; localhost;domain;;;;;;55233;[1au];AAAA?;media.carambo.la.;-45;1
19:16:00.068266;IP;localhost;domain ; localhost;43531;;;;;;55233;2/0/1;CNAME;cs807.wac.13115.alphacdn.net.,;CNAME;1
19:16:00.888218;IP;localhost;56451; localhost;domain;;;;;;48245;[1au];PTR?;53.0.0.127.in-addr.arpa.;-52;1
19:16:00.888396;IP;localhost;domain ; localhost;56451;;;;;;48245;1/0/1;PTR;localhost.;-75;1
19:16:02.276617;IP;localhost;51963; localhost;domain;;;;;;39049;[1au];A?;sic.33across.com.;-45;1
19:16:02.276980;IP;localhost;domain ; localhost;51963;;;;;;39049;2/0/1;CNAME;chi.sic.33across.com.,;A;1
19:16:02.277160;IP;localhost;51963; localhost;domain;;;;;;45203;[1au];AAAA?;sic.33across.com.;-45;1
19:16:02.277314;IP;localhost;domain ; localhost;51963;;;;;;45203;1/0/1;CNAME;chi.sic.33across.com.;-63;1
19:16:02.278436;IP;localhost;60655; localhost;domain;;;;;;40083;[1au];A?;sic.33across.com.;-45;1
19:16:02.278623;IP;localhost;domain ; localhost;60655;;;;;;40083;2/0/1;CNAME;chi.sic.33across.com.,;A;1
19:16:02.657845;IP;localhost;36731; localhost;domain;;;;;;27244;[1au];A?;ssc.33across.com.;-45;1
19:16:02.658163;IP;localhost;domain ; localhost;36731;;;;;;27244;3/0/1;CNAME;33xchange-1576862511.us-east-1.elb.a;;1
19:16:02.658200;IP;localhost;36731; localhost;domain;;;;;;28279;[1au];AAAA?;ssc.33across.com.;-45;1
19:16:02.658348;IP;localhost;domain ; localhost;36731;;;;;;28279;1/0/1;CNAME;33xchange-1576862511.us-east-1.elb.a;;1
19:16:02.817404;IP;localhost;33784; localhost;domain;;;;;;60867;[1au];A?;browser.pipe.aria.microsoft.com.;-60;1
19:16:02.817917;IP;localhost;33784; localhost;domain;;;;;;51664;[1au];AAAA?;browser.pipe.aria.microsoft.com.;(6;1
19:16:02.839890;IP;localhost;domain ; localhost;33784;;;;;;51664;2/0/1;CNAME;browser.events.data.trafficmanager.n;;1
19:16:02.839998;IP;localhost;domain ; localhost;33784;;;;;;60867;3/0/1;CNAME;browser.events.data.trafficmanager.n;;1
19:16:03.358967;IP;localhost;46745; localhost;domain;;;;;;35820;[1au];A?;browser.pipe.aria.microsoft.com.;-60;1
19:16:03.359366;IP;localhost;domain ; localhost;46745;;;;;;35820;3/0/1;CNAME;browser.events.data.trafficmanager.n;;1
19:16:03.359409;IP;localhost;46745; localhost;domain;;;;;;50166;[1au];AAAA?;browser.pipe.aria.microsoft.com.;(6;1
19:16:03.359616;IP;localhost;domain ; localhost;46745;;;;;;50166;2/0/1;CNAME;browser.events.data.trafficmanager.n;;1
19:16:03.463393;IP;localhost;40052; localhost;domain;;;;;;24960;[1au];A?;ib.adnxs.com.;-41;1
19:16:03.463781;IP;localhost;domain ; localhost;40052;;;;;;24960;10/0/1;CNAME;g.geogslb.com.,;CNAME;1
19:16:03.463942;IP;localhost;40052; localhost;domain;;;;;;31115;[1au];AAAA?;ib.adnxs.com.;-41;1
19:16:03.464139;IP;localhost;domain ; localhost;40052;;;;;;31115;2/0/1;CNAME;g.geogslb.com.,;CNAME;1
19:16:03.478229;IP;localhost;37753; localhost;domain;;;;;;18846;[1au];A?;ib.adnxs.com.;-41;1
19:16:03.478565;IP;localhost;domain ; localhost;37753;;;;;;18846;10/0/1;CNAME;g.geogslb.com.,;CNAME;1
19:16:03.478704;IP;localhost;37753; localhost;domain;;;;;;60840;[1au];AAAA?;ib.adnxs.com.;-41;1
19:16:03.478898;IP;localhost;domain ; localhost;37753;;;;;;60840;2/0/1;CNAME;g.geogslb.com.,;CNAME;1
19:16:03.487126;IP;localhost;55016; localhost;domain;;;;;;47566;[1au];A?;ib.adnxs.com.;-41;1
19:16:03.487445;IP;localhost;domain ; localhost;55016;;;;;;47566;10/0/1;CNAME;g.geogslb.com.,;CNAME;1
19:16:03.487679;IP;localhost;55016; localhost;domain;;;;;;2521;[1au];AAAA?;ib.adnxs.com.;-41;1
19:16:03.487881;IP;localhost;domain ; localhost;55016;;;;;;2521;2/0/1;CNAME;g.geogslb.com.,;CNAME;1
19:16:09.171771;IP;localhost;46398; localhost;domain;;;;;;59794;[1au];A?;tcf.admeen.org.;-43;1
19:16:09.172129;IP;localhost;domain ; localhost;46398;;;;;;59794;2/0/1;A;104.24.16.66,;A;1
19:16:09.172179;IP;localhost;46398; localhost;domain;;;;;;41373;[1au];AAAA?;tcf.admeen.org.;-43;1
19:16:09.173613;IP;localhost;47347; localhost;domain;;;;;;32028;[1au];A?;tcf.admeen.org.;-43;1
19:16:09.173785;IP;localhost;domain ; localhost;47347;;;;;;32028;2/0/1;A;104.24.16.66,;A;1
19:16:09.193242;IP;localhost;domain ; localhost;46398;;;;;;41373;0/0/1;-43;;;1
19:16:09.384330;IP;localhost;46448; localhost;domain;;;;;;5869;[1au];A?;tcf.admeen.org.;-43;1
19:16:09.384519;IP;localhost;domain ; localhost;46448;;;;;;5869;2/0/1;A;104.24.16.66,;A;1
19:16:09.385196;IP;localhost;46448; localhost;domain;;;;;;44791;[1au];AAAA?;tcf.admeen.org.;-43;1
19:16:09.385323;IP;localhost;domain ; localhost;46448;;;;;;44791;0/0/1;-43;;;1
19:16:09.705566;IP;localhost;40806; localhost;domain;;;;;;6720;[1au];A?;api.html5games.com.;-47;1
19:16:09.706123;IP;localhost;40806; localhost;domain;;;;;;63052;[1au];AAAA?;api.html5games.com.;-47;1
19:16:09.708932;IP;localhost;52101; localhost;domain;;;;;;682;[1au];A?;api.html5games.com.;-47;1
19:16:09.714368;IP;localhost;37845; localhost;domain;;;;;;59084;[1au];A?;www.1001jeux.fr.;-44;1
19:16:09.714671;IP;localhost;domain ; localhost;37845;;;;;;59084;2/0/1;A;104.26.2.46,;A;1
19:16:09.714720;IP;localhost;37845; localhost;domain;;;;;;40665;[1au];AAAA?;www.1001jeux.fr.;-44;1
19:16:09.714859;IP;localhost;domain ; localhost;37845;;;;;;40665;2/0/1;AAAA;2606;;1
19:16:09.729163;IP;localhost;domain ; localhost;40806;;;;;;6720;1/0/1;A;35.187.121.151;-63;1
19:16:09.729245;IP;localhost;domain ; localhost;52101;;;;;;682;1/0/1;A;35.187.121.151;-63;1
19:16:09.731104;IP;localhost;domain ; localhost;40806;;;;;;63052;0/0/1;-47;;;1
19:16:18.056006;IP;localhost;48781; localhost;domain;;;;;;38644;[1au];A?;connectivity-check.ubuntu.com.;-58;1
19:16:18.056506;IP;localhost;48781; localhost;domain;;;;;;62205;[1au];AAAA?;connectivity-check.ubuntu.com.;-58;1
19:16:18.078493;IP;localhost;domain ; localhost;48781;;;;;;38644;2/0/1;A;35.224.99.156,;A;1
19:16:18.080840;IP;localhost;domain ; localhost;48781;;;;;;-58;;;;0;1
19:16:22.843835;IP;localhost ;; localhost;;ICMP;echo request;50472;0;8;;;;;;0
19:16:22.843849;IP;localhost ;; localhost;;ICMP;eco reply;50472;256;8;;;;;;0
19:16:22.944347;IP;localhost ;; localhost;;ICMP;echo request;50472;256;8;;;;;;0
19:16:22.944362;IP;localhost ;; localhost;;ICMP;eco reply;50472;512;8;;;;;;0
19:16:23.044522;IP;localhost ;; localhost;;ICMP;echo request;50472;512;8;;;;;;0
19:16:23.044536;IP;localhost ;; localhost;;ICMP;eco reply;50472;768;8;;;;;;0
19:16:23.144752;IP;localhost ;; localhost;;ICMP;echo request;50472;768;8;;;;;;0
19:16:23.144768;IP;localhost ;; localhost;;ICMP;eco reply;50472;1024;8;;;;;;0
19:16:23.244922;IP;localhost ;; localhost;;ICMP;echo request;50472;1024;8;;;;;;0
19:16:23.244938;IP;localhost ;; localhost;;ICMP;eco reply;50472;1280;8;;;;;;0
19:16:23.345183;IP;localhost ;; localhost;;ICMP;echo request;50472;1280;8;;;;;;0
19:16:23.345197;IP;localhost ;; localhost;;ICMP;eco reply;50472;1536;8;;;;;;0
19:16:23.445333;IP;localhost ;; localhost;;ICMP;echo request;50472;1536;8;;;;;;0
19:16:23.445348;IP;localhost ;; localhost;;ICMP;eco reply;50472;1792;8;;;;;;0
19:16:23.545558;IP;localhost ;; localhost;;ICMP;echo request;50472;1792;8;;;;;;0
19:16:23.545573;IP;localhost ;; localhost;;ICMP;eco reply;50472;2048;8;;;;;;0
19:16:23.645755;IP;localhost ;; localhost;;ICMP;echo request;50472;2048;8;;;;;;0
19:16:23.645771;IP;localhost ;; localhost;;ICMP;eco reply;50472;2304;8;;;;;;0
19:16:23.745995;IP;localhost ;; localhost;;ICMP;echo request;50472;2304;8;;;;;;0
19:16:23.746014;IP;localhost ;; localhost;;ICMP;eco reply;50472;2560;8;;;;;;0
19:16:23.846170;IP;localhost ;; localhost;;ICMP;echo request;50472;2560;8;;;;;;0
19:16:23.846186;IP;localhost ;; localhost;;ICMP;eco reply;50472;2816;8;;;;;;0
19:16:23.946391;IP;localhost ;; localhost;;ICMP;echo request;50472;2816;8;;;;;;0
19:16:23.946407;IP;localhost ;; localhost;;ICMP;eco reply;50472;3072;8;;;;;;0
19:16:24.046593;IP;localhost ;; localhost;;ICMP;echo request;50472;3072;8;;;;;;0
19:16:24.046609;IP;localhost ;; localhost;;ICMP;eco reply;50472;3328;8;;;;;;0
19:16:24.146809;IP;localhost ;; localhost;;ICMP;echo request;50472;3328;8;;;;;;0
19:16:24.146825;IP;localhost ;; localhost;;ICMP;eco reply;50472;3584;8;;;;;;0
19:16:24.247003;IP;localhost ;; localhost;;ICMP;echo request;50472;3584;8;;;;;;0
19:16:24.247018;IP;localhost ;; localhost;;ICMP;eco reply;50472;3840;8;;;;;;0
19:16:24.347724;IP;localhost ;; localhost;;ICMP;echo request;50472;3840;8;;;;;;0
19:16:24.347738;IP;localhost ;; localhost;;ICMP;eco reply;50472;4096;8;;;;;;0
19:16:24.448433;IP;localhost ;; localhost;;ICMP;echo request;50472;4096;8;;;;;;0
19:16:24.448447;IP;localhost ;; localhost;;ICMP;eco reply;50472;4352;8;;;;;;0
19:16:24.548622;IP;localhost ;; localhost;;ICMP;echo request;50472;4352;8;;;;;;0
19:16:24.548636;IP;localhost ;; localhost;;ICMP;eco reply;50472;4608;8;;;;;;0
19:16:24.648797;IP;localhost ;; localhost;;ICMP;echo request;50472;4608;8;;;;;;0
19:16:24.648812;IP;localhost ;; localhost;;ICMP;eco reply;50472;4864;8;;;;;;0
19:16:24.749038;IP;localhost ;; localhost;;ICMP;echo request;50472;4864;8;;;;;;0
19:16:24.749053;IP;localhost ;; localhost;;ICMP;eco reply;50472;5120;8;;;;;;0
19:16:24.849214;IP;localhost ;; localhost;;ICMP;echo request;50472;5120;8;;;;;;0
19:16:24.849230;IP;localhost ;; localhost;;ICMP;eco reply;50472;5376;8;;;;;;0
