Heure;Protocole1;IPSource;PortSource;IPDestination;PortDestination;Protocole2;Typedepaquet;id;seq;length;Flags;A;B;C;D;Label;;;;;;;;;;;;;;;;;;;
19:19:21.324154;IP;localhost;36810; localhost;domain;;;;;;39239;[1au];A?;browser.pipe.aria.microsoft.com.;-60;1;;;;;;;;;;;;;;;;;;;
19:19:21.325298;IP;localhost;36810; localhost;domain;;;;;;6995;[1au];AAAA?;browser.pipe.aria.microsoft.com.;-60;1;;;;;;;;;;;;;;;;;;;
19:19:21.347122;IP;localhost;domain ; localhost;36810;;;;;;39239;3/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1;;;;;;;;;;;;;;;;;;;
19:19:21.373536;IP;localhost;domain ; localhost;36810;;;;;;6995;2/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1;;;;;;;;;;;;;;;;;;;
19:19:22.104393;IP;localhost;43773; localhost;domain;;;;;;38435;[1au];PTR?;53.0.0.127.in-addr.arpa.;-52;1;;;;;;;;;;;;;;;;;;;
19:19:22.104602;IP;localhost;domain ; localhost;43773;;;;;;38435;1/0/1;PTR;localhost.;-75;1;;;;;;;;;;;;;;;;;;;
19:19:40.919735;IP;localhost;43994; localhost;domain;;;;;;46539;[1au];A?;fonts.googleapis.com.;-49;1;;;;;;;;;;;;;;;;;;;
19:19:40.920047;IP;localhost;domain ; localhost;43994;;;;;;46539;1/0/1;A;216.58.206.234;-65;1;;;;;;;;;;;;;;;;;;;
19:19:40.920080;IP;localhost;43994; localhost;domain;;;;;;43477;[1au];AAAA?;fonts.googleapis.com.;-49;1;;;;;;;;;;;;;;;;;;;
19:19:40.920174;IP;localhost;domain ; localhost;43994;;;;;;43477;1/0/1;AAAA;2a00:1450:4007:812::200a;-77;1;;;;;;;;;;;;;;;;;;;
19:19:40.920551;IP;localhost;55295; localhost;domain;;;;;;33027;[1au];A?;media.carambo.la.;-45;1;;;;;;;;;;;;;;;;;;;
19:19:40.920778;IP;localhost;domain ; localhost;55295;;;;;;33027;3/0/1;CNAME;cs807.wac.13115.alphacdn.net.,;CNAME;1;;;;;;;;;;;;;;;;;;;
19:19:40.920806;IP;localhost;55295; localhost;domain;;;;;;19721;[1au];AAAA?;media.carambo.la.;-45;1;;;;;;;;;;;;;;;;;;;
19:19:40.920988;IP;localhost;domain ; localhost;55295;;;;;;19721;2/0/1;CNAME;cs807.wac.13115.alphacdn.net.,;CNAME;1;;;;;;;;;;;;;;;;;;;
19:19:40.921196;IP;localhost;33316; localhost;domain;;;;;;30128;[1au];A?;carambola-d.openx.net.;-50;1;;;;;;;;;;;;;;;;;;;
19:19:40.921544;IP;localhost;33316; localhost;domain;;;;;;39349;[1au];AAAA?;carambola-d.openx.net.;-50;1;;;;;;;;;;;;;;;;;;;
19:19:40.921676;IP;localhost;domain ; localhost;33316;;;;;;39349;0/0/1;-50;;;1;;;;;;;;;;;;;;;;;;;
19:19:40.921884;IP;localhost;34186; localhost;domain;;;;;;42359;[1au];A?;cdn.tynt.com.;-41;1;;;;;;;;;;;;;;;;;;;
19:19:40.922411;IP;localhost;34186; localhost;domain;;;;;;29054;[1au];AAAA?;cdn.tynt.com.;-41;1;;;;;;;;;;;;;;;;;;;
19:19:40.922937;IP;localhost;49327; localhost;domain;;;;;;54700;[1au];A?;ic.tynt.com.;-40;1;;;;;;;;;;;;;;;;;;;
19:19:40.923459;IP;localhost;49327; localhost;domain;;;;;;39349;[1au];AAAA?;ic.tynt.com.;-40;1;;;;;;;;;;;;;;;;;;;
19:19:40.923607;IP;localhost;domain ; localhost;49327;;;;;;39349;0/0/1;-40;;;1;;;;;;;;;;;;;;;;;;;
19:19:40.942965;IP;localhost;domain ; localhost;33316;;;;;;30128;1/0/1;A;34.95.120.147;-66;1;;;;;;;;;;;;;;;;;;;
19:19:40.943261;IP;localhost;52184; localhost;domain;;;;;;4275;[1au];A?;sc.tynt.com.;-40;1;;;;;;;;;;;;;;;;;;;
19:19:40.943584;IP;localhost;domain ; localhost;52184;;;;;;4275;3/0/1;CNAME;sc.tynt.com.cdn.cloudflare.net.,;A;1;;;;;;;;;;;;;;;;;;;
19:19:40.944198;IP;localhost;52184; localhost;domain;;;;;;21690;[1au];AAAA?;sc.tynt.com.;-40;1;;;;;;;;;;;;;;;;;;;
19:19:40.944465;IP;localhost;domain ; localhost;52184;;;;;;21690;1/0/1;CNAME;sc.tynt.com.cdn.cloudflare.net.;-84;1;;;;;;;;;;;;;;;;;;;
19:19:40.944908;IP;localhost;49831; localhost;domain;;;;;;14525;[1au];A?;cdn-sic.33across.com.;-49;1;;;;;;;;;;;;;;;;;;;
19:19:40.945136;IP;localhost;domain ; localhost;34186;;;;;;29054;1/0/1;CNAME;cdn.tynt.com.cdn.cloudflare.net.;-86;1;;;;;;;;;;;;;;;;;;;
19:19:40.945622;IP;localhost;domain ; localhost;34186;;;;;;42359;3/0/1;CNAME;cdn.tynt.com.cdn.cloudflare.net.,;A;1;;;;;;;;;;;;;;;;;;;
19:19:40.945908;IP;localhost;52438; localhost;domain;;;;;;57433;[1au];A?;de.tynt.com.;-40;1;;;;;;;;;;;;;;;;;;;
19:19:40.946170;IP;localhost;52438; localhost;domain;;;;;;11360;[1au];AAAA?;de.tynt.com.;-40;1;;;;;;;;;;;;;;;;;;;
19:19:40.946269;IP;localhost;domain ; localhost;52438;;;;;;11360;0/0/1;-40;;;1;;;;;;;;;;;;;;;;;;;
19:19:40.946313;IP;localhost;49831; localhost;domain;;;;;;49350;[1au];AAAA?;cdn-sic.33across.com.;-49;1;;;;;;;;;;;;;;;;;;;
19:19:40.946863;IP;localhost;domain ; localhost;49327;;;;;;54700;1/0/1;A;67.202.110.31;-56;1;;;;;;;;;;;;;;;;;;;
19:19:40.947064;IP;localhost;39029; localhost;domain;;;;;;37088;[1au];A?;sic.33across.com.;-45;1;;;;;;;;;;;;;;;;;;;
19:19:40.947346;IP;localhost;39029; localhost;domain;;;;;;19686;[1au];AAAA?;sic.33across.com.;-45;1;;;;;;;;;;;;;;;;;;;
19:19:40.969049;IP;localhost;domain ; localhost;52438;;;;;;57433;1/0/1;A;67.202.110.34;-56;1;;;;;;;;;;;;;;;;;;;
