Heure;Protocole1;IPSource;PortSource;IPDestination;PortDestination;Protocole2;Typedepaquet;id;seq;length;Flags;A;B;C;D;Label
15:11:16.197101;IP;localhost;36678;localhost;domain;;;;;;61190;[1au];A?;browser.pipe.aria.microsoft.com.;-60;1
15:11:16.199004;IP;localhost;36678;localhost;domain;;;;;;15904;[1au];AAAA?;browser.pipe.aria.microsoft.com.;-60;1
15:11:16.221254;IP;localhost;domain;localhost;36678;;;;;;61190;3/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1
15:11:16.224653;IP;localhost;domain;localhost;36678;;;;;;15904;2/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1
15:11:16.439296;IP;localhost;33570;localhost;domain;;;;;;15326;[1au];PTR?;53.0.0.127.in-addr.arpa.;-52;1
15:11:16.439600;IP;localhost;domain;localhost;33570;;;;;;15326;1/0/1;PTR;localhost.;-75;1
15:11:32.056236;IP;localhost;59021;localhost;domain;;;;;;12443;[1au];A?;browser.pipe.aria.microsoft.com.;-60;1
15:11:32.057295;IP;localhost;59021;localhost;domain;;;;;;15534;[1au];AAAA?;browser.pipe.aria.microsoft.com.;-60;1
15:11:32.079616;IP;localhost;domain;localhost;59021;;;;;;12443;3/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1
15:11:32.106214;IP;localhost;domain;localhost;59021;;;;;;15534;2/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1
15:11:58.896205;IP;localhost;49429;localhost;domain;;;;;;43234;[1au];A?;www.youtube.com.;-44;1
15:11:58.896585;IP;localhost;domain;localhost;49429;;;;;;43234;13/0/1;CNAME;youtube-ui.l.google.com.,;A;1
15:11:58.896626;IP;localhost;49429;localhost;domain;;;;;;21489;[1au];AAAA?;www.youtube.com.;-44;1
15:11:58.896791;IP;localhost;domain;localhost;49429;;;;;;21489;2/0/1;CNAME;youtube-ui.l.google.com.,;AAAA;1
15:12:08.135006;IP;localhost;47984;localhost;domain;;;;;;60699;[1au];A?;outlook-1.cdn.office.net.;-53;1
15:12:08.135485;IP;localhost;47984;localhost;domain;;;;;;4390;[1au];AAAA?;outlook-1.cdn.office.net.;-53;1
15:12:08.158337;IP;localhost;domain;localhost;47984;;;;;;60699;3/0/1;CNAME;outlook-1.cdn.office.net.edgekey.net.,;CNAME;1
15:12:08.159380;IP;localhost;domain;localhost;47984;;;;;;4390;4/0/1;CNAME;outlook-1.cdn.office.net.edgekey.net.,;CNAME;1
15:12:10.756896;IP;localhost;47199;localhost;domain;;;;;;60238;[1au];A?;outlook.live.com.;-45;1
15:12:10.757699;IP;localhost;47199;localhost;domain;;;;;;60248;[1au];AAAA?;outlook.live.com.;-45;1
15:12:10.762100;IP;localhost;domain;localhost;47199;;;;;;60238;5/0/1;CNAME;live.ms-acdc.office.com.,;CNAME;1
15:12:10.765026;IP;localhost;domain;localhost;47199;;;;;;60248;5/0/1;CNAME;live.ms-acdc.office.com.,;CNAME;1
15:12:11.112685;IP;localhost;48313;localhost;domain;;;;;;21777;[1au];A?;fra1-ib.adnxs.com.;-46;1
15:12:11.113278;IP;localhost;48313;localhost;domain;;;;;;3358;[1au];AAAA?;fra1-ib.adnxs.com.;-46;1
15:12:11.130198;IP;localhost;48468;localhost;domain;;;;;;19650;[1au];A?;m.adnxs.com.;-40;1
15:12:11.130546;IP;localhost;domain;localhost;48468;;;;;;19650;4/0/1;CNAME;microsoft.geo.appnexusgslb.net.,;CNAME;1
15:12:11.130763;IP;localhost;48468;localhost;domain;;;;;;26828;[1au];AAAA?;m.adnxs.com.;-40;1
15:12:11.140544;IP;localhost;domain;localhost;48313;;;;;;21777;8/0/1;A;37.252.173.38,;A;1
15:12:11.141671;IP;localhost;domain;localhost;48313;;;;;;3358;0/0/1;-46;;;1
15:12:11.151956;IP;localhost;domain;localhost;48468;;;;;;26828;2/0/1;CNAME;microsoft.geo.appnexusgslb.net.,;CNAME;1
15:12:11.235476;IP;localhost;43180;localhost;domain;;;;;;12175;[1au];A?;m.adnxs.com.;-40;1
15:12:11.235796;IP;localhost;domain;localhost;43180;;;;;;12175;4/0/1;CNAME;microsoft.geo.appnexusgslb.net.,;CNAME;1
15:12:11.235882;IP;localhost;43180;localhost;domain;;;;;;56217;[1au];AAAA?;m.adnxs.com.;-40;1
15:12:11.236076;IP;localhost;domain;localhost;43180;;;;;;56217;2/0/1;CNAME;microsoft.geo.appnexusgslb.net.,;CNAME;1
15:12:12.060802;IP;localhost;43301;localhost;domain;;;;;;20828;[1au];A?;sb.scorecardresearch.com.;-53;1
15:12:12.061473;IP;localhost;43301;localhost;domain;;;;;;26982;[1au];AAAA?;sb.scorecardresearch.com.;-53;1
15:12:12.061800;IP;localhost;domain;localhost;43301;;;;;;26982;2/0/1;CNAME;sb.scorecardresearch.com.edgekey.net.,;CNAME;1
15:12:12.071748;IP;localhost;49934;localhost;domain;;;;;;57781;[1au];A?;acdn.adnxs.com.;-43;1
15:12:12.072494;IP;localhost;49934;localhost;domain;;;;;;58819;[1au];AAAA?;acdn.adnxs.com.;-43;1
15:12:12.076032;IP;localhost;domain;localhost;49934;;;;;;57781;2/0/1;CNAME;prod.appnexus.map.fastly.net.,;A;1
15:12:12.082310;IP;localhost;domain;localhost;43301;;;;;;20828;3/0/1;CNAME;sb.scorecardresearch.com.edgekey.net.,;CNAME;1
15:12:12.090085;IP;localhost;58049;localhost;domain;;;;;;15673;[1au];A?;fra1-ib.adnxs.com.;-46;1
15:12:12.090316;IP;localhost;domain;localhost;58049;;;;;;15673;8/0/1;A;37.252.172.38,;A;1
15:12:12.090355;IP;localhost;58049;localhost;domain;;;;;;24899;[1au];AAAA?;fra1-ib.adnxs.com.;-46;1
15:12:12.090451;IP;localhost;domain;localhost;58049;;;;;;24899;0/0/1;-46;;;1
15:12:12.094111;IP;localhost;domain;localhost;49934;;;;;;58819;1/0/1;CNAME;prod.appnexus.map.fastly.net.;-85;1
15:12:12.175032;IP;localhost;46519;localhost;domain;;;;;;37706;[1au];A?;fra1-ib.adnxs.com.;-46;1
15:12:12.175253;IP;localhost;domain;localhost;46519;;;;;;37706;8/0/1;A;37.252.172.38,;A;1
15:12:12.175290;IP;localhost;46519;localhost;domain;;;;;;29524;[1au];AAAA?;fra1-ib.adnxs.com.;-46;1
15:12:12.175382;IP;localhost;domain;localhost;46519;;;;;;29524;0/0/1;-46;;;1
15:12:12.849049;IP;localhost;38381;localhost;domain;;;;;;14992;[1au];A?;outlook-1.cdn.office.net.;-53;1
15:12:12.849553;IP;localhost;domain;localhost;38381;;;;;;14992;3/0/1;CNAME;outlook-1.cdn.office.net.edgekey.net.,;CNAME;1
15:12:12.849596;IP;localhost;38381;localhost;domain;;;;;;54938;[1au];AAAA?;outlook-1.cdn.office.net.;-53;1
15:12:12.849805;IP;localhost;domain;localhost;38381;;;;;;54938;4/0/1;CNAME;outlook-1.cdn.office.net.edgekey.net.,;CNAME;1
15:12:12.888198;IP;localhost;53525;localhost;domain;;;;;;8935;[1au];A?;outlook-1.cdn.office.net.;-53;1
15:12:12.888560;IP;localhost;domain;localhost;53525;;;;;;8935;3/0/1;CNAME;outlook-1.cdn.office.net.edgekey.net.,;CNAME;1
15:12:12.888629;IP;localhost;53525;localhost;domain;;;;;;17137;[1au];AAAA?;outlook-1.cdn.office.net.;-53;1
15:12:12.888859;IP;localhost;domain;localhost;53525;;;;;;17137;4/0/1;CNAME;outlook-1.cdn.office.net.edgekey.net.,;CNAME;1
15:12:12.907550;IP;localhost;48492;localhost;domain;;;;;;15020;[1au];A?;outlook-1.cdn.office.net.;-53;1
15:12:12.907914;IP;localhost;domain;localhost;48492;;;;;;15020;3/0/1;CNAME;outlook-1.cdn.office.net.edgekey.net.,;CNAME;1
15:12:12.907957;IP;localhost;48492;localhost;domain;;;;;;60085;[1au];AAAA?;outlook-1.cdn.office.net.;-53;1
15:12:12.908231;IP;localhost;domain;localhost;48492;;;;;;60085;4/0/1;CNAME;outlook-1.cdn.office.net.edgekey.net.,;CNAME;1
15:12:12.933998;IP;localhost;51446;localhost;domain;;;;;;37433;[1au];A?;outlook-1.cdn.office.net.;-53;1
15:12:12.934491;IP;localhost;domain;localhost;51446;;;;;;37433;3/0/1;CNAME;outlook-1.cdn.office.net.edgekey.net.,;CNAME;1
15:12:12.934567;IP;localhost;51446;localhost;domain;;;;;;62024;[1au];AAAA?;outlook-1.cdn.office.net.;-53;1
15:12:12.934791;IP;localhost;domain;localhost;51446;;;;;;62024;4/0/1;CNAME;outlook-1.cdn.office.net.edgekey.net.,;CNAME;1
15:12:13.856601;IP;localhost;53415;localhost;domain;;;;;;22945;[1au];A?;outlook-1.cdn.office.net.;-53;1
15:12:13.857038;IP;localhost;domain;localhost;53415;;;;;;22945;3/0/1;CNAME;outlook-1.cdn.office.net.edgekey.net.,;CNAME;1
15:12:13.857075;IP;localhost;53415;localhost;domain;;;;;;39343;[1au];AAAA?;outlook-1.cdn.office.net.;-53;1
15:12:13.857287;IP;localhost;domain;localhost;53415;;;;;;39343;4/0/1;CNAME;outlook-1.cdn.office.net.edgekey.net.,;CNAME;1
15:12:13.866829;IP;localhost;43739;localhost;domain;;;;;;6012;[1au];A?;outlook-1.cdn.office.net.;-53;1
15:12:13.867319;IP;localhost;domain;localhost;43739;;;;;;6012;3/0/1;CNAME;outlook-1.cdn.office.net.edgekey.net.,;CNAME;1
15:12:13.867363;IP;localhost;43739;localhost;domain;;;;;;20362;[1au];AAAA?;outlook-1.cdn.office.net.;-53;1
15:12:13.867568;IP;localhost;domain;localhost;43739;;;;;;20362;4/0/1;CNAME;outlook-1.cdn.office.net.edgekey.net.,;CNAME;1
15:12:13.895836;IP;localhost;54089;localhost;domain;;;;;;22439;[1au];A?;outlook-1.cdn.office.net.;-53;1
15:12:13.896173;IP;localhost;domain;localhost;54089;;;;;;22439;3/0/1;CNAME;outlook-1.cdn.office.net.edgekey.net.,;CNAME;1
15:12:13.896213;IP;localhost;54089;localhost;domain;;;;;;42929;[1au];AAAA?;outlook-1.cdn.office.net.;-53;1
15:12:13.896416;IP;localhost;domain;localhost;54089;;;;;;42929;4/0/1;CNAME;outlook-1.cdn.office.net.edgekey.net.,;CNAME;1
15:12:13.900790;IP;localhost;58262;localhost;domain;;;;;;1810;[1au];A?;outlook-1.cdn.office.net.;-53;1
15:12:13.901112;IP;localhost;domain;localhost;58262;;;;;;1810;3/0/1;CNAME;outlook-1.cdn.office.net.edgekey.net.,;CNAME;1
15:12:13.901151;IP;localhost;58262;localhost;domain;;;;;;20251;[1au];AAAA?;outlook-1.cdn.office.net.;-53;1
15:12:13.901430;IP;localhost;domain;localhost;58262;;;;;;20251;4/0/1;CNAME;outlook-1.cdn.office.net.edgekey.net.,;CNAME;1
15:12:14.000612;IP;localhost;49974;localhost;domain;;;;;;23045;[1au];A?;cdn.taboola.com.;-44;1
15:12:14.001198;IP;localhost;49974;localhost;domain;;;;;;65042;[1au];AAAA?;cdn.taboola.com.;-44;1
15:12:14.002081;IP;localhost;58908;localhost;domain;;;;;;23149;[1au];A?;ib.adnxs.com.;-41;1
