Heure;Protocole1;IPSource;PortSource;IPDestination;PortDestination;Protocole2;Typedepaquet;id;seq;length;Flags;A;B;C;D;Label;;;;;;;;;;;;;;
19:48:30.630022;IP;localhost;46263; localhost;domain;;;;;;39446;[1au];A?;m.adnxs.com.;-40;1;;;;;;;;;;;;;;
19:48:30.630521;IP;localhost;domain ; localhost;46263;;;;;;39446;4/0/1;CNAME;microsoft.geo.appnexusgslb.net.,;CNAME;1;;;;;;;;;;;;;;
19:48:30.630677;IP;localhost;46263; localhost;domain;;;;;;38432;[1au];AAAA?;m.adnxs.com.;-40;1;;;;;;;;;;;;;;
19:48:30.653292;IP;localhost;domain ; localhost;46263;;;;;;38432;2/0/1;CNAME;microsoft.geo.appnexusgslb.net.,;CNAME;1;;;;;;;;;;;;;;
19:48:30.945094;IP;localhost;43033; localhost;domain;;;;;;52584;[1au];A?;m.adnxs.com.;-40;1;;;;;;;;;;;;;;
19:48:30.945573;IP;localhost;domain ; localhost;43033;;;;;;52584;4/0/1;CNAME;microsoft.geo.appnexusgslb.net.,;CNAME;1;;;;;;;;;;;;;;
19:48:30.945726;IP;localhost;43033; localhost;domain;;;;;;53618;[1au];AAAA?;m.adnxs.com.;-40;1;;;;;;;;;;;;;;
19:48:30.945969;IP;localhost;domain ; localhost;43033;;;;;;53618;2/0/1;CNAME;microsoft.geo.appnexusgslb.net.,;CNAME;1;;;;;;;;;;;;;;
19:48:31.331827;IP;localhost;38718; localhost;domain;;;;;;59274;[1au];A?;sb.scorecardresearch.com.;-53;1;;;;;;;;;;;;;;
19:48:31.332369;IP;localhost;38718; localhost;domain;;;;;;1943;[1au];AAAA?;sb.scorecardresearch.com.;-53;1;;;;;;;;;;;;;;
19:48:31.338034;IP;localhost;54878; localhost;domain;;;;;;13326;[1au];A?;acdn.adnxs.com.;-43;1;;;;;;;;;;;;;;
19:48:31.338537;IP;localhost;54878; localhost;domain;;;;;;48151;[1au];AAAA?;acdn.adnxs.com.;-43;1;;;;;;;;;;;;;;
19:48:31.354075;IP;localhost;domain ; localhost;38718;;;;;;59274;3/0/1;CNAME;sb.scorecardresearch.com.edgekey.net.,;CNAME;1;;;;;;;;;;;;;;
19:48:31.356090;IP;localhost;domain ; localhost;38718;;;;;;1943;2/0/1;CNAME;sb.scorecardresearch.com.edgekey.net.,;CNAME;1;;;;;;;;;;;;;;
19:48:31.360919;IP;localhost;domain ; localhost;54878;;;;;;48151;1/0/1;CNAME;prod.appnexus.map.fastly.net.;-85;1;;;;;;;;;;;;;;
19:48:31.361048;IP;localhost;domain ; localhost;54878;;;;;;13326;2/0/1;CNAME;prod.appnexus.map.fastly.net.,;A;1;;;;;;;;;;;;;;
19:48:31.383543;IP;localhost;46439; localhost;domain;;;;;;15190;[1au];A?;fra1-ib.adnxs.com.;-46;1;;;;;;;;;;;;;;
19:48:31.383850;IP;localhost;domain ; localhost;46439;;;;;;15190;8/0/1;A;37.252.172.37,;A;1;;;;;;;;;;;;;;
19:48:31.383900;IP;localhost;46439; localhost;domain;;;;;;30559;[1au];AAAA?;fra1-ib.adnxs.com.;-46;1;;;;;;;;;;;;;;
19:48:31.406866;IP;localhost;domain ; localhost;46439;;;;;;30559;0/0/1;-46;;;1;;;;;;;;;;;;;;
19:48:31.493915;IP;localhost;45631; localhost;domain;;;;;;17228;[1au];PTR?;53.0.0.127.in-addr.arpa.;-52;1;;;;;;;;;;;;;;
19:48:31.494082;IP;localhost;domain ; localhost;45631;;;;;;17228;1/0/1;PTR;localhost.;-75;1;;;;;;;;;;;;;;
19:48:31.531443;IP;localhost;57805; localhost;domain;;;;;;17215;[1au];A?;fra1-ib.adnxs.com.;-46;1;;;;;;;;;;;;;;
19:48:31.531647;IP;localhost;domain ; localhost;57805;;;;;;17215;8/0/1;A;37.252.172.37,;A;1;;;;;;;;;;;;;;
19:48:31.531741;IP;localhost;57805; localhost;domain;;;;;;46921;[1au];AAAA?;fra1-ib.adnxs.com.;-46;1;;;;;;;;;;;;;;
19:48:31.531888;IP;localhost;domain ; localhost;57805;;;;;;46921;0/0/1;-46;;;1;;;;;;;;;;;;;;
19:48:31.586547;IP;localhost;38468; localhost;domain;;;;;;18352;[1au];A?;cdn.taboola.com.;-44;1;;;;;;;;;;;;;;
19:48:31.587182;IP;localhost;38468; localhost;domain;;;;;;52156;[1au];AAAA?;cdn.taboola.com.;-44;1;;;;;;;;;;;;;;
19:48:31.609317;IP;localhost;domain ; localhost;38468;;;;;;18352;2/0/1;CNAME;f2.taboola.map.fastly.net.,;A;1;;;;;;;;;;;;;;
19:48:31.611260;IP;localhost;domain ; localhost;38468;;;;;;52156;1/0/1;CNAME;f2.taboola.map.fastly.net.;-83;1;;;;;;;;;;;;;;
19:48:31.646541;IP;localhost;43975; localhost;domain;;;;;;59001;[1au];A?;cdn.adnxs.com.;-42;1;;;;;;;;;;;;;;
19:48:31.647147;IP;localhost;43975; localhost;domain;;;;;;13955;[1au];AAAA?;cdn.adnxs.com.;-42;1;;;;;;;;;;;;;;
19:48:31.667984;IP;localhost;domain ; localhost;43975;;;;;;59001;3/0/1;CNAME;secure-adnxs.edgekey.net.,;CNAME;1;;;;;;;;;;;;;;
19:48:31.670408;IP;localhost;domain ; localhost;43975;;;;;;13955;2/0/1;CNAME;secure-adnxs.edgekey.net.,;CNAME;1;;;;;;;;;;;;;;
19:48:33.052951;IP;localhost;50301; localhost;domain;;;;;;31216;[1au];A?;browser.pipe.aria.microsoft.com.;-60;1;;;;;;;;;;;;;;
19:48:33.054962;IP;localhost;50301; localhost;domain;;;;;;47360;[1au];AAAA?;browser.pipe.aria.microsoft.com.;-60;1;;;;;;;;;;;;;;
19:48:33.075848;IP;localhost;domain ; localhost;50301;;;;;;31216;3/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1;;;;;;;;;;;;;;
19:48:33.099073;IP;localhost;domain ; localhost;50301;;;;;;47360;2/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1;;;;;;;;;;;;;;
19:48:33.184838;IP;localhost;44465; localhost;domain;;;;;;52942;[1au];A?;browser.pipe.aria.microsoft.com.;-60;1;;;;;;;;;;;;;;
19:48:33.185606;IP;localhost;44465; localhost;domain;;;;;;22237;[1au];AAAA?;browser.pipe.aria.microsoft.com.;-60;1;;;;;;;;;;;;;;
19:48:33.185994;IP;localhost;domain ; localhost;44465;;;;;;22237;2/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1;;;;;;;;;;;;;;
19:48:33.207318;IP;localhost;domain ; localhost;44465;;;;;;52942;3/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1;;;;;;;;;;;;;;
19:48:34.209056;IP;localhost;36253; localhost;domain;;;;;;27455;[1au];A?;trc.taboola.com.;-44;1;;;;;;;;;;;;;;
19:48:34.209550;IP;localhost;36253; localhost;domain;;;;;;24394;[1au];AAAA?;trc.taboola.com.;-44;1;;;;;;;;;;;;;;
19:48:34.234074;IP;localhost;domain ; localhost;36253;;;;;;24394;1/0/1;CNAME;tls13.taboola.map.fastly.net.;-86;1;;;;;;;;;;;;;;
19:48:34.234188;IP;localhost;domain ; localhost;36253;;;;;;27455;2/0/1;CNAME;tls13.taboola.map.fastly.net.,;A;1;;;;;;;;;;;;;;
19:48:34.257453;IP;localhost;40190; localhost;domain;;;;;;12218;[1au];A?;trc.taboola.com.;-44;1;;;;;;;;;;;;;;
19:48:34.257708;IP;localhost;domain ; localhost;40190;;;;;;12218;2/0/1;CNAME;tls13.taboola.map.fastly.net.,;A;1;;;;;;;;;;;;;;
19:48:34.257742;IP;localhost;40190; localhost;domain;;;;;;61380;[1au];AAAA?;trc.taboola.com.;-44;1;;;;;;;;;;;;;;
19:48:34.257883;IP;localhost;domain ; localhost;40190;;;;;;61380;1/0/1;CNAME;tls13.taboola.map.fastly.net.;-86;1;;;;;;;;;;;;;;
19:48:36.291765;IP;localhost;38383; localhost;domain;;;;;;9768;[1au];A?;browser.pipe.aria.microsoft.com.;-60;1;;;;;;;;;;;;;;
19:48:36.292474;IP;localhost;domain ; localhost;38383;;;;;;9768;3/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1;;;;;;;;;;;;;;
19:48:36.292555;IP;localhost;38383; localhost;domain;;;;;;7223;[1au];AAAA?;browser.pipe.aria.microsoft.com.;-60;1;;;;;;;;;;;;;;
19:48:36.292918;IP;localhost;domain ; localhost;38383;;;;;;7223;2/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1;;;;;;;;;;;;;;
19:48:36.307894;IP;localhost;38551; localhost;domain;;;;;;14566;[1au];A?;browser.pipe.aria.microsoft.com.;-60;1;;;;;;;;;;;;;;
19:48:36.308377;IP;localhost;domain ; localhost;38551;;;;;;14566;3/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1;;;;;;;;;;;;;;
