Heure;Protocole1;IPSource;PortSource;IPDestination;PortDestination;Protocole2;Typedepaquet;id;seq;length;Flags;A;B;C;D;Label
19:54:36.155271;IP;localhost;54672; localhost;domain;;;;;;32152;[1au];A?;ssc.33across.com.;-45;1
19:54:36.155693;IP;localhost;54672; localhost;domain;;;;;;20899;[1au];AAAA?;ssc.33across.com.;-45;1
19:54:36.176885;IP;localhost;domain ; localhost;54672;;;;;;32152;3/0/1;CNAME;33xchange-1576862511.us-east-1.elb.amazonaws.com.,;A;1
19:54:36.180395;IP;localhost;domain ; localhost;54672;;;;;;20899;1/0/1;CNAME;33xchange-1576862511.us-east-1.elb.amazonaws.com.;-104;1
19:54:36.229315;IP;localhost;47528; localhost;domain;;;;;;38509;[1au];A?;eu-u.openx.net.;-43;1
19:54:36.229749;IP;localhost;47528; localhost;domain;;;;;;56951;[1au];AAAA?;eu-u.openx.net.;-43;1
19:54:36.229892;IP;localhost;domain ; localhost;47528;;;;;;56951;0/0/1;-43;;;1
19:54:36.250824;IP;localhost;domain ; localhost;47528;;;;;;38509;1/0/1;A;34.95.120.147;-59;1
19:54:36.852419;IP;localhost;41049; localhost;domain;;;;;;63;[1au];PTR?;53.0.0.127.in-addr.arpa.;-52;1
19:54:36.852583;IP;localhost;domain ; localhost;41049;;;;;;63;1/0/1;PTR;localhost.;-75;1
19:54:37.092965;IP;localhost;51185; localhost;domain;;;;;;29898;[1au];A?;pagead2.googlesyndication.com.;-58;1
19:54:37.093323;IP;localhost;domain ; localhost;51185;;;;;;29898;2/0/1;CNAME;pagead46.l.doubleclick.net.,;A;1
19:54:37.093359;IP;localhost;51185; localhost;domain;;;;;;20695;[1au];AAAA?;pagead2.googlesyndication.com.;-58;1
19:54:37.093509;IP;localhost;domain ; localhost;51185;;;;;;20695;2/0/1;CNAME;pagead46.l.doubleclick.net.,;AAAA;1
19:54:37.125429;IP;localhost;36221; localhost;domain;;;;;;33835;[1au];A?;adserver.adtechus.com.;-50;1
19:54:37.125993;IP;localhost;36221; localhost;domain;;;;;;45109;[1au];AAAA?;adserver.adtechus.com.;-50;1
