Heure;Protocole1;IPSource;PortSource;IPDestination;PortDestination;Protocole2;Typedepaquet;id;seq;length;Flags;A;B;C;D;Label;;;;;;;;;;;;;;;;;
20:01:17.533906;IP;localhost;53916; localhost;domain;;;;;;43148;[1au];A?;m.adnxs.com.;-40;1;;;;;;;;;;;;;;;;;
20:01:17.534284;IP;localhost;domain ; localhost;53916;;;;;;43148;4/0/1;CNAME;microsoft.geo.appnexusgslb.net.,;CNAME;1;;;;;;;;;;;;;;;;;
20:01:17.534420;IP;localhost;53916; localhost;domain;;;;;;53400;[1au];AAAA?;m.adnxs.com.;-40;1;;;;;;;;;;;;;;;;;
20:01:17.557108;IP;localhost;domain ; localhost;53916;;;;;;53400;2/0/1;CNAME;microsoft.geo.appnexusgslb.net.,;CNAME;1;;;;;;;;;;;;;;;;;
20:01:17.747936;IP;localhost;39301; localhost;domain;;;;;;62464;[1au];PTR?;53.0.0.127.in-addr.arpa.;-52;1;;;;;;;;;;;;;;;;;
20:01:17.748107;IP;localhost;domain ; localhost;39301;;;;;;62464;1/0/1;PTR;localhost.;-75;1;;;;;;;;;;;;;;;;;
20:01:17.834602;IP;localhost;52209; localhost;domain;;;;;;31395;[1au];A?;m.adnxs.com.;-40;1;;;;;;;;;;;;;;;;;
20:01:17.835138;IP;localhost;domain ; localhost;52209;;;;;;31395;4/0/1;CNAME;microsoft.geo.appnexusgslb.net.,;CNAME;1;;;;;;;;;;;;;;;;;
20:01:17.835375;IP;localhost;52209; localhost;domain;;;;;;42672;[1au];AAAA?;m.adnxs.com.;-40;1;;;;;;;;;;;;;;;;;
20:01:17.835839;IP;localhost;domain ; localhost;52209;;;;;;42672;2/0/1;CNAME;microsoft.geo.appnexusgslb.net.,;CNAME;1;;;;;;;;;;;;;;;;;
20:01:18.107677;IP;localhost;54166; localhost;domain;;;;;;45736;[1au];A?;sb.scorecardresearch.com.;-53;1;;;;;;;;;;;;;;;;;
20:01:18.108203;IP;localhost;54166; localhost;domain;;;;;;1715;[1au];AAAA?;sb.scorecardresearch.com.;-53;1;;;;;;;;;;;;;;;;;
20:01:18.108547;IP;localhost;domain ; localhost;54166;;;;;;1715;2/0/1;CNAME;sb.scorecardresearch.com.edgekey.net.,;CNAME;1;;;;;;;;;;;;;;;;;
20:01:18.132600;IP;localhost;domain ; localhost;54166;;;;;;45736;3/0/1;CNAME;sb.scorecardresearch.com.edgekey.net.,;CNAME;1;;;;;;;;;;;;;;;;;
20:01:18.135201;IP;localhost;34878; localhost;domain;;;;;;49371;[1au];A?;ams1-ib.adnxs.com.;-46;1;;;;;;;;;;;;;;;;;
20:01:18.135485;IP;localhost;domain ; localhost;34878;;;;;;49371;8/0/1;A;185.33.221.50,;A;1;;;;;;;;;;;;;;;;;
20:01:18.135523;IP;localhost;34878; localhost;domain;;;;;;60644;[1au];AAAA?;ams1-ib.adnxs.com.;-46;1;;;;;;;;;;;;;;;;;
20:01:18.156917;IP;localhost;domain ; localhost;34878;;;;;;60644;0/0/1;-46;;;1;;;;;;;;;;;;;;;;;
20:01:18.443465;IP;localhost;34186; localhost;domain;;;;;;30509;[1au];A?;ams1-ib.adnxs.com.;-46;1;;;;;;;;;;;;;;;;;
20:01:18.443664;IP;localhost;domain ; localhost;34186;;;;;;30509;8/0/1;A;185.33.221.50,;A;1;;;;;;;;;;;;;;;;;
20:01:18.443885;IP;localhost;34186; localhost;domain;;;;;;35641;[1au];AAAA?;ams1-ib.adnxs.com.;-46;1;;;;;;;;;;;;;;;;;
20:01:18.464911;IP;localhost;domain ; localhost;34186;;;;;;35641;0/0/1;-46;;;1;;;;;;;;;;;;;;;;;
20:01:18.498906;IP;localhost;37130; localhost;domain;;;;;;46035;[1au];A?;cdn.taboola.com.;-44;1;;;;;;;;;;;;;;;;;
20:01:18.499504;IP;localhost;37130; localhost;domain;;;;;;42974;[1au];AAAA?;cdn.taboola.com.;-44;1;;;;;;;;;;;;;;;;;
20:01:18.521046;IP;localhost;domain ; localhost;37130;;;;;;46035;2/0/1;CNAME;f2.taboola.map.fastly.net.,;A;1;;;;;;;;;;;;;;;;;
20:01:18.522559;IP;localhost;domain ; localhost;37130;;;;;;42974;1/0/1;CNAME;f2.taboola.map.fastly.net.;-83;1;;;;;;;;;;;;;;;;;
20:01:18.556403;IP;localhost;52508; localhost;domain;;;;;;57936;[1au];A?;cdn.adnxs.com.;-42;1;;;;;;;;;;;;;;;;;
20:01:18.556880;IP;localhost;52508; localhost;domain;;;;;;56926;[1au];AAAA?;cdn.adnxs.com.;-42;1;;;;;;;;;;;;;;;;;
20:01:18.582040;IP;localhost;domain ; localhost;52508;;;;;;57936;3/0/1;CNAME;secure-adnxs.edgekey.net.,;CNAME;1;;;;;;;;;;;;;;;;;
20:01:18.605491;IP;localhost;domain ; localhost;52508;;;;;;56926;1/0/1;CNAME;prod.appnexus.map.fastly.net.;-84;1;;;;;;;;;;;;;;;;;
20:01:18.656288;IP;localhost;44656; localhost;domain;;;;;;15635;[1au];A?;ib.adnxs.com.;-41;1;;;;;;;;;;;;;;;;;-218
20:01:18.677698;IP;localhost;domain ; localhost;44656;;;;;;15635;10/0/1;CNAME;g.geogslb.com.,;CNAME;1;;;;;;;;;;;;;;;;;
20:01:20.047483;IP;localhost;40272; localhost;domain;;;;;;5003;[1au];A?;browser.pipe.aria.microsoft.com.;-60;1;;;;;;;;;;;;;;;;;
20:01:20.048285;IP;localhost;40272; localhost;domain;;;;;;10135;[1au];AAAA?;browser.pipe.aria.microsoft.com.;-60;1;;;;;;;;;;;;;;;;;
20:01:20.087444;IP;localhost;domain ; localhost;40272;;;;;;5003;3/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1;;;;;;;;;;;;;;;;;
20:01:20.137755;IP;localhost;domain ; localhost;40272;;;;;;10135;2/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1;;;;;;;;;;;;;;;;;
20:01:20.259443;IP;localhost;37029; localhost;domain;;;;;;39586;[1au];A?;tps.doubleverify.com.;-49;1;;;;;;;;;;;;;;;;;
20:01:20.259965;IP;localhost;37029; localhost;domain;;;;;;37550;[1au];AAAA?;tps.doubleverify.com.;-49;1;;;;;;;;;;;;;;;;;
20:01:20.302124;IP;localhost;46009; localhost;domain;;;;;;34596;[1au];A?;ad.doubleclick.net.;-47;1;;;;;;;;;;;;;;;;;
20:01:20.302515;IP;localhost;domain ; localhost;46009;;;;;;34596;2/0/1;CNAME;dart.l.doubleclick.net.,;A;1;;;;;;;;;;;;;;;;;
20:01:20.302560;IP;localhost;46009; localhost;domain;;;;;;3890;[1au];AAAA?;ad.doubleclick.net.;-47;1;;;;;;;;;;;;;;;;;
20:01:20.311457;IP;localhost;domain ; localhost;37029;;;;;;39586;4/0/1;CNAME;tps-geo.dvgtm.akadns.net.,;CNAME;1;;;;;;;;;;;;;;;;;
20:01:20.316469;IP;localhost;49009; localhost;domain;;;;;;34351;[1au];A?;t.myvisualiq.net.;-45;1;;;;;;;;;;;;;;;;;
20:01:20.316988;IP;localhost;49009; localhost;domain;;;;;;55864;[1au];AAAA?;t.myvisualiq.net.;-45;1;;;;;;;;;;;;;;;;;
20:01:20.328486;IP;localhost;37538; localhost;domain;;;;;;47796;[1au];A?;fonts.googleapis.com.;-49;1;;;;;;;;;;;;;;;;;
20:01:20.328741;IP;localhost;domain ; localhost;37538;;;;;;47796;1/0/1;A;172.217.18.202;-65;1;;;;;;;;;;;;;;;;;
20:01:20.328785;IP;localhost;37538; localhost;domain;;;;;;53950;[1au];AAAA?;fonts.googleapis.com.;-49;1;;;;;;;;;;;;;;;;;
20:01:20.328917;IP;localhost;domain ; localhost;37538;;;;;;53950;1/0/1;AAAA;2a00:1450:4007:817::200a;-77;1;;;;;;;;;;;;;;;;;
20:01:20.351711;IP;localhost;domain ; localhost;46009;;;;;;3890;1/0/1;CNAME;dart.l.doubleclick.net.;-68;1;;;;;;;;;;;;;;;;;
20:01:20.361393;IP;localhost;domain ; localhost;37029;;;;;;37550;3/0/1;CNAME;tps-geo.dvgtm.akadns.net.,;CNAME;1;;;;;;;;;;;;;;;;;
20:01:20.365051;IP;localhost;domain ; localhost;49009;;;;;;55864;2/0/1;CNAME;pool-eu.visualiq.iponweb.net.,;CNAME;1;;;;;;;;;;;;;;;;;
20:01:20.365223;IP;localhost;domain ; localhost;49009;;;;;;34351;9/0/1;CNAME;pool-eu.visualiq.iponweb.net.,;CNAME;1;;;;;;;;;;;;;;;;;
20:01:21.242287;IP;localhost;52545; localhost;domain;;;;;;24561;[1au];A?;browser.pipe.aria.microsoft.com.;-60;1;;;;;;;;;;;;;;;;;
20:01:21.242779;IP;localhost;domain ; localhost;52545;;;;;;24561;3/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1;;;;;;;;;;;;;;;;;
20:01:21.242877;IP;localhost;52545; localhost;domain;;;;;;35836;[1au];AAAA?;browser.pipe.aria.microsoft.com.;-60;1;;;;;;;;;;;;;;;;;
20:01:21.243101;IP;localhost;domain ; localhost;52545;;;;;;35836;2/0/1;CNAME;browser.events.data.trafficmanager.net.,;CNAME;1;;;;;;;;;;;;;;;;;
20:01:21.874575;IP;localhost;38623; localhost;domain;;;;;;41372;[1au];A?;trc.taboola.com.;-44;1;;;;;;;;;;;;;;;;;
20:01:21.874863;IP;localhost;domain ; localhost;38623;;;;;;41372;2/0/1;CNAME;tls13.taboola.map.fastly.net.,;A;1;;;;;;;;;;;;;;;;;
20:01:21.875017;IP;localhost;38623; localhost;domain;;;;;;38310;[1au];AAAA?;trc.taboola.com.;-44;1;;;;;;;;;;;;;;;;;
20:01:21.875260;IP;localhost;domain ; localhost;38623;;;;;;38310;1/0/1;CNAME;tls13.taboola.map.fastly.net.;-86;1;;;;;;;;;;;;;;;;;
20:01:22.510117;IP;localhost;34143; localhost;domain;;;;;;46733;[1au];A?;trc.taboola.com.;-44;1;;;;;;;;;;;;;;;;;
20:01:22.510396;IP;localhost;domain ; localhost;34143;;;;;;46733;2/0/1;CNAME;tls13.taboola.map.fastly.net.,;A;1;;;;;;;;;;;;;;;;;
20:01:22.510432;IP;localhost;34143; localhost;domain;;;;;;56985;[1au];AAAA?;trc.taboola.com.;-44;1;;;;;;;;;;;;;;;;;
20:01:22.534580;IP;localhost;domain ; localhost;34143;;;;;;56985;1/0/1;CNAME;tls13.taboola.map.fastly.net.;-86;1;;;;;;;;;;;;;;;;;
20:01:23.097359;IP;localhost;45054; localhost;domain;;;;;;23875;[1au];A?;hb.emxdgt.com.;-42;1;;;;;;;;;;;;;;;;;
20:01:23.097864;IP;localhost;45054; localhost;domain;;;;;;19790;[1au];AAAA?;hb.emxdgt.com.;-42;1;;;;;;;;;;;;;;;;;
20:01:23.097983;IP;localhost;domain ; localhost;45054;;;;;;19790;0/0/1;-42;;;1;;;;;;;;;;;;;;;;;
20:01:23.118583;IP;localhost;domain ; localhost;45054;;;;;;23875;1/0/1;A;18.196.104.43;-58;1;;;;;;;;;;;;;;;;;
20:01:23.139685;IP;localhost;49764; localhost;domain;;;;;;61104;[1au];A?;ssc.33across.com.;-45;1;;;;;;;;;;;;;;;;;
20:01:23.139940;IP;localhost;domain ; localhost;49764;;;;;;61104;3/0/1;CNAME;33xchange-1576862511.us-east-1.elb.amazonaws.com.,;A;1;;;;;;;;;;;;;;;;;
20:01:23.139973;IP;localhost;49764; localhost;domain;;;;;;51898;[1au];AAAA?;ssc.33across.com.;-45;1;;;;;;;;;;;;;;;;;
20:01:23.140123;IP;localhost;domain ; localhost;49764;;;;;;51898;1/0/1;CNAME;33xchange-1576862511.us-east-1.elb.amazonaws.com.;-104;1;;;;;;;;;;;;;;;;;
20:01:23.176687;IP;localhost;37243; localhost;domain;;;;;;62102;[1au];A?;hbopenbid.pubmatic.com.;-51;1;;;;;;;;;;;;;;;;;
20:01:23.177035;IP;localhost;domain ; localhost;37243;;;;;;62102;3/0/1;CNAME;hbopenbid22000nfc.pubmatic.com.,;CNAME;1;;;;;;;;;;;;;;;;;
20:01:23.177249;IP;localhost;37243; localhost;domain;;;;;;41636;[1au];AAAA?;hbopenbid.pubmatic.com.;-51;1;;;;;;;;;;;;;;;;;
20:01:23.199770;IP;localhost;domain ; localhost;37243;;;;;;41636;2/0/1;CNAME;hbopenbid22000nfc.pubmatic.com.,;CNAME;1;;;;;;;;;;;;;;;;;
20:01:23.345281;IP;localhost;38367; localhost;domain;;;;;;42308;[1au];A?;analytics.carambo.la.;-49;1;;;;;;;;;;;;;;;;;
20:01:23.345943;IP;localhost;38367; localhost;domain;;;;;;18767;[1au];AAAA?;analytics.carambo.la.;-49;1;;;;;;;;;;;;;;;;;
20:01:23.367503;IP;localhost;domain ; localhost;38367;;;;;;42308;5/0/1;CNAME;cbola-analytics-c5-6.us-east-1.elasticbeanstalk.com.,;A;1;;;;;;;;;;;;;;;;;
20:01:23.369131;IP;localhost;domain ; localhost;38367;;;;;;18767;1/0/1;CNAME;cbola-analytics-c5-6.us-east-1.elasticbeanstalk.com.;-114;1;;;;;;;;;;;;;;;;;
20:01:23.558678;IP;localhost;39650; localhost;domain;;;;;;39493;[1au];A?;ads.pubmatic.com.;-45;1;;;;;;;;;;;;;;;;;
20:01:23.559833;IP;localhost;39650; localhost;domain;;;;;;29263;[1au];AAAA?;ads.pubmatic.com.;-45;1;;;;;;;;;;;;;;;;;
20:01:23.560095;IP;localhost;domain ; localhost;39650;;;;;;29263;2/0/1;CNAME;pubmatic.edgekey.net.,;CNAME;1;;;;;;;;;;;;;;;;;
20:01:23.582176;IP;localhost;domain ; localhost;39650;;;;;;39493;3/0/1;CNAME;pubmatic.edgekey.net.,;CNAME;1;;;;;;;;;;;;;;;;;
20:01:23.665307;IP;localhost;38091; localhost;domain;;;;;;54754;[1au];A?;image6.pubmatic.com.;-48;1;;;;;;;;;;;;;;;;;
20:01:23.665603;IP;localhost;domain ; localhost;38091;;;;;;54754;3/0/1;CNAME;pugm22000nfc.pubmatic.com.,;CNAME;1;;;;;;;;;;;;;;;;;
20:01:23.667408;IP;localhost;38091; localhost;domain;;;;;;34286;[1au];AAAA?;image6.pubmatic.com.;-48;1;;;;;;;;;;;;;;;;;
20:01:23.688572;IP;localhost;domain ; localhost;38091;;;;;;34286;2/0/1;CNAME;pugm22000nfc.pubmatic.com.,;CNAME;1;;;;;;;;;;;;;;;;;
20:01:23.947646;IP;localhost;51649; localhost;domain;;;;;;50580;[1au];A?;sshowads.pubmatic.com.;-50;1;;;;;;;;;;;;;;;;;
20:01:23.948107;IP;localhost;51649; localhost;domain;;;;;;18847;[1au];AAAA?;sshowads.pubmatic.com.;-50;1;;;;;;;;;;;;;;;;;
20:01:23.969279;IP;localhost;domain ; localhost;51649;;;;;;50580;3/0/1;CNAME;showads-lhrc.pubmatic.com.,;CNAME;1;;;;;;;;;;;;;;;;;
20:01:23.993093;IP;localhost;domain ; localhost;51649;;;;;;18847;2/0/1;CNAME;showads-lhrc.pubmatic.com.,;CNAME;1;;;;;;;;;;;;;;;;;
20:01:24.135716;IP;localhost;42809; localhost;domain;;;;;;19257;[1au];A?;hb.emxdgt.com.;-42;1;;;;;;;;;;;;;;;;;
20:01:24.135943;IP;localhost;domain ; localhost;42809;;;;;;19257;1/0/1;A;18.196.104.43;-58;1;;;;;;;;;;;;;;;;;
20:01:24.135981;IP;localhost;42809; localhost;domain;;;;;;34627;[1au];AAAA?;hb.emxdgt.com.;-42;1;;;;;;;;;;;;;;;;;
20:01:24.136082;IP;localhost;domain ; localhost;42809;;;;;;34627;0/0/1;-42;;;1;;;;;;;;;;;;;;;;;
20:01:24.149757;IP;localhost;53870; localhost;domain;;;;;;24179;[1au];A?;hbopenbid.pubmatic.com.;-51;1;;;;;;;;;;;;;;;;;
20:01:24.150138;IP;localhost;domain ; localhost;53870;;;;;;24179;3/0/1;CNAME;hbopenbid22000nfc.pubmatic.com.,;CNAME;1;;;;;;;;;;;;;;;;;
20:01:24.150338;IP;localhost;53870; localhost;domain;;;;;;12925;[1au];AAAA?;hbopenbid.pubmatic.com.;-51;1;;;;;;;;;;;;;;;;;
20:01:24.150562;IP;localhost;domain ; localhost;53870;;;;;;12925;2/0/1;CNAME;hbopenbid22000nfc.pubmatic.com.,;CNAME;1;;;;;;;;;;;;;;;;;
20:01:24.169219;IP;localhost;40613; localhost;domain;;;;;;55916;[1au];A?;ssc.33across.com.;-45;1;;;;;;;;;;;;;;;;;
20:01:24.169511;IP;localhost;domain ; localhost;40613;;;;;;55916;3/0/1;CNAME;33xchange-1576862511.us-east-1.elb.amazonaws.com.,;A;1;;;;;;;;;;;;;;;;;
20:01:24.169689;IP;localhost;40613; localhost;domain;;;;;;5751;[1au];AAAA?;ssc.33across.com.;-45;1;;;;;;;;;;;;;;;;;
